step,total_steps,loss,reward_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
1,300,0.000000,0.000000,19.276589,6.375000,0.000000,0.000000,1.329654,15.6
2,300,-0.321540,0.125000,27.272381,6.625000,0.000000,0.999717,1.235328,
3,300,7.695891,0.250000,41.616527,25.625000,0.000000,0.999784,1.200351,
4,300,4.107822,0.375000,46.952548,82.250000,0.000000,0.999807,0.317999,
5,300,-4.653844,0.250000,47.340350,357.625000,0.000000,0.999784,0.372649,
1,500,0.000000,0.000000,19.205315,6.375000,0.000000,0.000000,1.329654,
2,500,-0.321540,0.125000,27.736751,6.625000,0.000000,0.999717,1.235328,
3,500,7.695891,0.250000,42.062978,25.625000,0.000000,0.999784,1.200351,
4,500,4.107822,0.375000,47.352097,82.250000,0.000000,0.999807,0.317999,
5,500,-4.653844,0.250000,47.596095,357.625000,0.000000,0.999784,0.372649,
6,500,3.047596,0.750000,48.529096,543.875000,0.000000,0.999784,0.083873,
7,500,0.000000,0.000000,46.567235,999.250000,0.000000,0.000000,0.185976,
8,500,0.379565,0.875000,48.537046,235.625000,0.000000,0.999717,0.193644,
9,500,0.000000,0.000000,45.118632,636.000000,0.000000,0.000000,0.323794,
10,500,0.000000,0.000000,47.810395,569.625000,0.000000,0.000000,0.126266,
11,500,0.000000,1.000000,48.815130,301.500000,0.000000,0.000000,0.168907,
12,500,0.000000,0.000000,48.357429,342.000000,0.000000,0.000000,0.054698,
13,500,0.000000,0.000000,48.368306,213.125000,0.000000,0.000000,0.375880,
14,500,0.000000,1.000000,48.682336,295.625000,0.000000,0.000000,0.119984,
15,500,0.000000,1.000000,48.418869,185.625000,0.000000,0.000000,0.049355,
16,500,-4.757643,0.875000,48.295130,321.750000,0.000000,0.999717,0.128552,
17,500,0.000000,0.000000,46.726395,826.750000,0.000000,0.000000,0.176841,
18,500,-25.911289,0.625000,47.942014,463.125000,0.000000,0.999807,0.134806,
19,500,-15.294436,0.875000,47.153686,579.750000,0.000000,0.999717,0.116144,
20,500,5.469687,0.125000,47.864205,550.875000,0.000000,0.999717,0.187710,
21,500,0.000000,1.000000,48.517652,385.500000,0.000000,0.000000,0.069628,
22,500,-5.849160,0.625000,47.968456,499.625000,0.000000,0.999807,0.142058,
