step,total_steps,loss,reward_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,policy_ratio,eval_acc
1,500,-0.034475,0.125000,30.315603,38.375000,0.000000,0.999717,1.268579,1.031744,15.6
2,500,-0.117847,0.125000,38.436693,384.000000,0.000000,0.999717,0.719712,2.145179,
3,500,-1.720999,0.250000,16.278158,23.250000,0.000000,0.999784,0.888300,1.848870,
4,500,-2.549986,0.500000,21.431384,88.500000,0.000000,0.999813,0.729145,3.140650,
5,500,-0.297200,0.125000,24.992403,342.875000,0.000000,0.999717,0.157202,0.950032,
6,500,-0.707277,0.750000,24.594956,368.500000,0.000000,0.999784,0.138124,2.412728,
7,500,0.000000,0.000000,20.492388,711.750000,0.000000,0.000000,0.200695,1.800806,
8,500,0.000000,1.000000,24.464849,230.500000,0.000000,0.000000,0.087572,1.199746,
9,500,0.000000,0.000000,26.899621,721.875000,0.000000,0.000000,0.311647,1.453875,
10,500,0.000000,0.000000,24.586644,441.875000,0.000000,0.000000,0.115590,1.231860,
11,500,0.000000,1.000000,23.536718,185.875000,0.000000,0.000000,0.122390,1.068958,
12,500,0.000000,0.000000,24.788705,407.500000,0.000000,0.000000,0.056278,1.117903,
13,500,0.000000,0.000000,25.297087,201.375000,0.000000,0.000000,0.234445,1.247252,
14,500,0.000000,1.000000,25.150866,259.750000,0.000000,0.000000,0.086495,0.971756,
15,500,0.000000,1.000000,23.747979,131.625000,0.000000,0.000000,0.094133,0.971477,
16,500,-1.017623,0.500000,24.521792,280.000000,0.000000,0.999813,0.130187,2.617341,
17,500,0.506654,0.125000,22.298739,677.625000,0.000000,0.999717,0.138066,2.168518,
18,500,-0.599055,0.875000,22.766125,241.125000,0.000000,0.999717,0.128814,2.050547,
19,500,0.000000,1.000000,24.353171,311.250000,0.000000,0.000000,0.079156,3.310687,
20,500,0.000000,0.000000,23.600197,235.375000,0.000000,0.000000,0.208698,0.928218,
21,500,0.000000,1.000000,24.628886,402.250000,0.000000,0.000000,0.053061,1.573068,
22,500,0.075199,0.125000,21.358725,429.250000,0.000000,0.999717,0.197942,0.760947,
23,500,0.000000,0.000000,21.949432,349.250000,0.000000,0.000000,0.189313,0.823941,
24,500,-0.119613,0.125000,23.698374,675.125000,0.000000,0.999717,0.133318,1.062589,
25,500,0.000000,1.000000,24.681164,447.125000,0.000000,0.000000,0.063080,1.531032,
26,500,0.000000,1.000000,24.814491,241.500000,0.000000,0.000000,0.122454,1.081852,
27,500,0.000000,1.000000,24.743359,297.750000,0.000000,0.000000,0.105151,1.053789,
28,500,0.000000,1.000000,24.906132,290.000000,0.000000,0.000000,0.063662,1.337152,
29,500,0.000000,0.000000,26.996044,774.625000,0.000000,0.000000,0.183737,0.685176,
30,500,0.000000,1.000000,24.611249,365.000000,0.000000,0.000000,0.046839,1.087482,
31,500,0.000000,1.000000,24.004218,246.375000,0.000000,0.000000,0.079724,1.447025,
32,500,0.000000,1.000000,24.989286,314.750000,0.000000,0.000000,0.070124,1.407318,
33,500,0.000000,1.000000,24.507850,350.875000,0.000000,0.000000,0.024217,1.109633,
34,500,0.000000,1.000000,24.433786,208.000000,0.000000,0.000000,0.058933,1.197507,
35,500,0.000000,1.000000,24.658883,375.875000,0.000000,0.000000,0.093955,1.006968,
36,500,0.248427,0.375000,22.667947,771.500000,0.000000,0.999807,0.180859,1.339587,
37,500,0.000000,1.000000,24.611836,321.000000,0.000000,0.000000,0.059221,1.830054,
38,500,0.000000,1.000000,24.368062,147.000000,0.000000,0.000000,0.055068,1.228179,
39,500,0.000000,0.000000,19.936887,493.250000,0.000000,0.000000,0.117357,1.061008,
40,500,0.000000,1.000000,24.548934,397.375000,0.000000,0.000000,0.069551,0.925328,
41,500,0.000000,1.000000,24.655853,202.875000,0.000000,0.000000,0.135918,0.946459,
42,500,-0.569914,0.250000,25.138929,238.875000,0.000000,0.999784,0.251240,1.096181,
43,500,-0.531436,0.500000,22.699798,390.875000,0.000000,0.999813,0.134335,0.882753,
44,500,-1.125112,0.250000,26.452497,648.000000,0.000000,0.999784,0.068598,0.705240,
45,500,0.000000,1.000000,24.557511,205.625000,0.000000,0.000000,0.071850,0.937335,
46,500,0.000000,1.000000,25.192309,297.000000,0.000000,0.000000,0.084905,1.017246,
47,500,-1.156493,0.375000,24.708662,751.125000,0.000000,0.999807,0.126323,1.153675,
48,500,0.000000,1.000000,24.358198,329.500000,0.000000,0.000000,0.054313,1.163110,
49,500,0.098488,0.125000,23.625581,657.625000,0.000000,0.999717,0.104060,1.072064,
50,500,0.000000,1.000000,24.454285,264.750000,0.000000,0.000000,0.135326,0.981978,45.2
