step,total_steps,loss,kl_loss,policy_ratio,reward_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
1,500,-0.787370,-0.096710,0.282757,0.125000,29.850303,38.375000,0.000000,0.999717,1.268579,15.6
2,500,0.475104,0.069140,2.587978,0.125000,22.978657,797.125000,0.000000,0.999717,0.296612,
3,500,-0.142918,0.041895,1.911936,0.500000,22.522810,96.750000,0.000000,0.999813,0.314139,
4,500,0.286160,0.025070,0.261316,0.875000,22.782451,184.000000,0.000000,0.999717,0.078636,
5,500,0.041232,0.075477,0.836900,0.125000,24.303874,314.250000,0.000000,0.999717,0.162800,
6,500,0.243577,0.218641,3.478967,0.875000,26.665547,389.625000,0.000000,0.999717,0.184355,
7,500,0.161173,0.161173,0.649954,0.000000,22.934336,942.875000,0.000000,0.000000,0.205846,
8,500,0.136236,0.136236,0.669173,1.000000,25.022303,202.625000,0.000000,0.000000,0.211671,
9,500,0.041671,0.041671,0.366816,0.000000,23.896235,591.000000,0.000000,0.000000,0.412356,
10,500,0.103409,0.103409,0.186751,0.000000,26.243764,458.375000,0.000000,0.000000,0.200131,
11,500,0.139753,0.072066,0.230014,0.750000,23.512831,198.500000,0.000000,0.999784,0.225253,
12,500,-0.004946,-0.004946,0.157008,0.000000,23.915985,266.000000,0.000000,0.000000,0.244503,
13,500,-0.159492,-0.159492,0.175169,0.000000,25.601623,235.375000,0.000000,0.000000,0.638875,
14,500,-0.064983,-0.075643,0.077512,0.875000,24.111559,262.125000,0.000000,0.999717,0.418799,
15,500,0.206158,-0.032047,0.326064,0.875000,24.320478,160.375000,0.000000,0.999717,0.370237,
16,500,-0.010646,-0.053659,0.411219,0.625000,20.204589,252.625000,0.000000,0.999807,0.841823,
17,500,-0.072442,-0.072442,0.041579,0.000000,24.048035,742.250000,0.000000,0.000000,0.799857,
18,500,-0.133186,-0.067420,0.275244,0.375000,27.782360,286.625000,0.000000,0.999807,0.850418,
19,500,-0.088186,-0.055683,0.639753,0.750000,26.063952,251.000000,0.000000,0.999784,0.685815,
20,500,-0.253673,-0.253673,0.600384,0.000000,16.760153,255.750000,0.000000,0.000000,0.964269,
21,500,0.035232,0.035232,0.804731,0.000000,25.390444,370.375000,0.000000,0.000000,0.743533,
22,500,-0.247800,-0.223487,0.096835,0.125000,22.792872,602.000000,0.000000,0.999717,0.694699,
23,500,-0.254700,-0.254700,0.058550,0.000000,23.388156,625.250000,0.000000,0.000000,1.357100,
24,500,-0.429775,-0.429775,0.054563,0.000000,24.426472,754.625000,0.000000,0.000000,1.087732,
25,500,0.265872,0.247627,0.088367,0.625000,23.611354,490.375000,0.000000,0.999807,0.769961,
26,500,-0.280795,-0.285534,0.188325,0.250000,28.797205,457.625000,0.000000,0.999784,1.164408,
27,500,0.101476,0.199316,0.324229,0.375000,22.398323,478.500000,0.000000,0.999807,1.772386,
28,500,-0.833847,0.163911,3.646056,0.500000,28.939462,356.125000,0.000000,0.999813,1.477835,
29,500,0.025101,0.025101,0.178871,0.000000,24.063195,896.000000,0.000000,0.000000,1.686289,
30,500,0.251714,0.253420,0.847479,0.625000,22.020679,555.750000,0.000000,0.999807,1.200121,
31,500,-0.273773,0.090187,1.347350,0.500000,27.900486,331.125000,0.000000,0.999813,1.013964,
32,500,0.588905,0.289518,2.693877,0.750000,22.146366,309.375000,0.000000,0.999784,0.952763,
33,500,-0.441348,0.164200,1.677740,0.750000,26.253223,455.750000,0.000000,0.999784,0.972838,
34,500,-0.439764,0.138144,1.635150,0.875000,23.855184,359.500000,0.000000,0.999717,1.017415,
35,500,-0.153080,0.267331,2.127458,0.375000,27.017486,497.875000,0.000000,0.999807,1.359975,
36,500,-0.068016,-0.068016,0.203657,0.000000,17.945877,537.125000,0.000000,0.000000,2.696386,
37,500,0.080495,0.238268,1.446373,0.875000,20.640074,220.250000,0.000000,0.999717,0.456125,
38,500,-0.449313,0.079181,1.978793,0.750000,21.635204,80.125000,0.000000,0.999784,0.424969,
