step,total_steps,loss,kl_loss,policy_ratio,reward_avg,format_reward_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
1,500,0.000000,0.000000,1.000000,0.000000,0.000000,45.133358,1024.000000,0.000000,0.000000,0.462033,50.8
2,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.444165,1024.000000,0.000000,0.000000,0.508711,
3,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.620508,546.000000,0.000000,0.000000,0.440812,
4,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.061947,559.625000,0.000000,0.000000,0.350745,
5,500,0.000000,0.000000,1.000000,1.500000,1.000000,46.572999,735.500000,0.000000,0.999813,0.393909,
6,500,0.000000,0.000000,1.000000,1.250000,0.750000,46.839246,976.375000,0.000000,0.999887,0.280292,
7,500,0.000000,0.000000,1.000000,0.000000,0.000000,45.792875,1024.000000,0.000000,0.000000,0.367948,
8,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.570051,586.875000,0.000000,0.000000,0.246731,
9,500,0.000000,0.000000,1.000000,0.000000,0.000000,44.114465,1024.000000,0.000000,0.000000,0.657599,
10,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.283700,1024.000000,0.000000,0.000000,0.321201,
11,500,0.000000,0.000000,1.000000,1.875000,1.000000,47.404009,635.500000,0.000000,0.999717,0.287940,
12,500,0.000000,0.000000,1.000000,0.125000,0.125000,46.439623,1024.000000,0.000000,0.999717,0.314190,
13,500,0.000000,0.000000,1.000000,0.875000,0.875000,46.935345,594.625000,0.000000,0.999717,0.378514,
14,500,0.000000,0.000000,1.000000,2.000000,1.000000,46.949015,862.500000,0.000000,0.000000,0.357851,
15,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.868574,668.875000,0.000000,0.000000,0.303369,
16,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.533227,671.875000,0.000000,0.000000,0.328481,
17,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.074882,1024.000000,0.000000,0.000000,0.355783,
18,500,0.000000,0.000000,1.000000,1.500000,0.750000,46.084347,951.875000,0.000000,0.999892,0.373791,
19,500,0.000000,0.000000,1.000000,2.000000,1.000000,46.897765,831.500000,0.000000,0.000000,0.336928,
20,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.524393,1024.000000,0.000000,0.000000,0.433811,
21,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.487906,806.875000,0.000000,0.000000,0.302569,
22,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.686594,1024.000000,0.000000,0.000000,0.390044,
23,500,0.000000,0.000000,1.000000,0.250000,0.125000,46.761605,1024.000000,0.000000,0.999859,0.495638,
24,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.227891,1024.000000,0.000000,0.000000,0.424686,
25,500,0.000000,0.000000,1.000000,1.375000,0.750000,46.315357,1018.875000,0.000000,0.999891,0.244147,
26,500,0.000000,0.000000,1.000000,1.875000,1.000000,47.243537,780.875000,0.000000,0.999717,0.413205,
27,500,0.000000,0.000000,1.000000,1.500000,0.750000,46.742155,905.750000,0.000000,0.999892,0.383370,
28,500,0.000000,0.000000,1.000000,1.750000,1.000000,48.248009,608.000000,0.000000,0.999784,0.321887,
29,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.262856,1024.000000,0.000000,0.000000,0.613997,
30,500,0.000000,0.000000,1.000000,1.875000,1.000000,46.608053,975.625000,0.000000,0.999717,0.282186,
31,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.272737,626.500000,0.000000,0.000000,0.346833,
32,500,0.000000,0.000000,1.000000,1.875000,1.000000,47.240215,823.250000,0.000000,0.999717,0.293580,
33,500,0.000000,0.000000,1.000000,1.875000,1.000000,47.190723,903.250000,0.000000,0.999717,0.219342,
34,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.943491,666.125000,0.000000,0.000000,0.348479,
35,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.510696,820.250000,0.000000,0.000000,0.306250,
36,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.571888,1024.000000,0.000000,0.000000,0.437307,
37,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.938425,565.750000,0.000000,0.000000,0.340120,
38,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.971503,373.625000,0.000000,0.000000,0.374906,
39,500,0.000000,0.000000,1.000000,0.125000,0.125000,46.423713,1024.000000,0.000000,0.999717,0.404472,
40,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.305820,818.500000,0.000000,0.000000,0.241710,
41,500,0.000000,0.000000,1.000000,1.625000,1.000000,46.868100,938.500000,0.000000,0.999807,0.380629,
42,500,0.000000,0.000000,1.000000,0.750000,0.500000,46.507634,918.500000,0.000000,0.999887,0.404065,
43,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.046053,917.250000,0.000000,0.000000,0.353492,
44,500,0.000000,0.000000,1.000000,1.375000,0.750000,47.200897,912.750000,0.000000,0.999891,0.368798,
45,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.115402,478.000000,0.000000,0.000000,0.308417,
46,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.863921,578.500000,0.000000,0.000000,0.263914,
47,500,0.000000,0.000000,1.000000,1.250000,0.750000,46.613026,1006.875000,0.000000,0.999887,0.257189,
48,500,0.000000,0.000000,1.000000,2.000000,1.000000,46.787362,841.625000,0.000000,0.000000,0.220501,
49,500,0.000000,0.000000,1.000000,1.250000,0.625000,46.625388,1017.875000,0.000000,0.999903,0.384387,
50,500,0.000000,0.000000,1.000000,1.250000,0.625000,46.772331,945.375000,0.000000,0.999903,0.499181,56.2
51,500,0.000000,0.000000,1.000000,1.750000,0.875000,47.733112,747.250000,0.000000,0.999859,0.305891,
52,500,0.000000,0.000000,1.000000,0.250000,0.125000,43.733582,1024.000000,0.000000,0.999859,0.384614,
53,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.992891,666.375000,0.000000,0.000000,0.340332,
54,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.194383,646.625000,0.000000,0.000000,0.265152,
55,500,0.000000,0.000000,1.000000,1.375000,0.750000,46.953112,861.875000,0.000000,0.999891,0.347124,
56,500,0.000000,0.000000,1.000000,1.000000,1.000000,47.639000,753.625000,0.000000,0.000000,0.430154,
57,500,0.000000,0.000000,1.000000,1.375000,0.750000,47.580000,679.750000,0.000000,0.999891,0.454596,
58,500,0.000000,0.000000,1.000000,0.750000,0.625000,47.066933,966.250000,0.000000,0.999859,0.517292,
59,500,0.000000,0.000000,1.000000,1.500000,0.750000,47.176033,937.750000,0.000000,0.999892,0.437704,
60,500,0.000000,0.000000,1.000000,0.500000,0.250000,46.114917,1024.000000,0.000000,0.999892,0.345856,
61,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.504558,1024.000000,0.000000,0.000000,0.592215,
62,500,0.000000,0.000000,1.000000,1.125000,0.625000,46.425008,1001.625000,0.000000,0.999899,0.355919,
63,500,0.000000,0.000000,1.000000,1.750000,1.000000,44.257234,977.375000,0.000000,0.999784,0.323535,
64,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.017155,650.750000,0.000000,0.000000,0.373250,
65,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.526574,735.125000,0.000000,0.000000,0.354923,
66,500,0.000000,0.000000,1.000000,1.500000,0.875000,46.582095,938.875000,0.000000,0.999868,0.530507,
67,500,0.000000,0.000000,1.000000,0.125000,0.125000,46.107003,1013.000000,0.000000,0.999717,0.724604,
68,500,0.000000,0.000000,1.000000,1.625000,0.875000,46.366816,1020.500000,0.000000,0.999866,0.277968,
69,500,0.000000,0.000000,1.000000,0.250000,0.125000,46.340132,1024.000000,0.000000,0.999859,0.442857,
70,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.920719,310.125000,0.000000,0.000000,0.338773,
71,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.468749,749.750000,0.000000,0.000000,0.405035,
72,500,0.000000,0.000000,1.000000,1.750000,0.875000,47.027596,920.625000,0.000000,0.999859,0.342445,
73,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.676126,729.250000,0.000000,0.000000,0.415809,
74,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.254326,596.750000,0.000000,0.000000,0.298300,
75,500,0.000000,0.000000,1.000000,0.250000,0.125000,41.048989,1022.250000,0.000000,0.999859,0.707035,
76,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.980211,658.625000,0.000000,0.000000,0.315428,
77,500,0.000000,0.000000,1.000000,1.125000,0.625000,46.836714,980.250000,0.000000,0.999899,0.380616,
78,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.978575,543.625000,0.000000,0.000000,0.321623,
79,500,0.000000,0.000000,1.000000,1.625000,1.000000,47.666891,789.500000,0.000000,0.999807,0.398438,
80,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.684299,489.875000,0.000000,0.000000,0.588655,
81,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.642751,740.125000,0.000000,0.000000,0.302017,
82,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.116290,602.750000,0.000000,0.000000,0.469693,
83,500,0.000000,0.000000,1.000000,0.875000,0.500000,47.135100,875.750000,0.000000,0.999899,0.634773,
84,500,0.000000,0.000000,1.000000,1.250000,0.875000,47.312978,825.500000,0.000000,0.999859,0.325410,
85,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.317172,563.500000,0.000000,0.000000,0.298805,
86,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.411733,365.750000,0.000000,0.000000,0.383981,
87,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.474074,667.375000,0.000000,0.000000,0.302856,
88,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.741698,771.750000,0.000000,0.000000,0.285716,
89,500,0.000000,0.000000,1.000000,0.250000,0.125000,45.873822,980.500000,0.000000,0.999859,0.868934,
90,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.246609,1024.000000,0.000000,0.000000,0.958415,
91,500,0.000000,0.000000,1.000000,1.625000,1.000000,46.727638,756.500000,0.000000,0.999807,0.626962,
92,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.901013,421.250000,0.000000,0.000000,0.481767,
93,500,0.000000,0.000000,1.000000,0.875000,0.375000,46.489765,1024.000000,0.000000,0.999899,0.831028,
94,500,0.000000,0.000000,1.000000,1.375000,0.625000,46.826416,901.000000,0.000000,0.999891,0.618293,
95,500,0.000000,0.000000,1.000000,1.000000,1.000000,48.181229,490.000000,0.000000,0.000000,0.383723,
96,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.821981,377.500000,0.000000,0.000000,0.455274,
97,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.791911,654.375000,0.000000,0.000000,0.522902,
98,500,0.000000,0.000000,1.000000,1.750000,0.875000,47.140875,746.625000,0.000000,0.999859,0.457753,
99,500,0.000000,0.000000,1.000000,1.875000,1.000000,47.645202,592.875000,0.000000,0.999717,0.476526,
100,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.858952,680.250000,0.000000,0.000000,0.410895,54.8
101,500,0.000000,0.000000,1.000000,0.375000,0.250000,46.677209,988.750000,0.000000,0.999866,0.753070,
102,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.677697,780.500000,0.000000,0.000000,0.544659,
103,500,0.000000,0.000000,1.000000,0.750000,0.375000,46.560148,958.250000,0.000000,0.999903,0.755583,
104,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.770318,336.875000,0.000000,0.000000,0.394934,
105,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.594416,531.750000,0.000000,0.000000,0.530702,
106,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.286718,549.875000,0.000000,0.000000,0.435449,
107,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.485291,492.750000,0.000000,0.000000,0.609112,
108,500,0.000000,0.000000,1.000000,1.000000,1.000000,47.696721,569.500000,0.000000,0.000000,0.712293,
109,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.653340,707.250000,0.000000,0.000000,0.527623,
110,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.493681,1024.000000,0.000000,0.000000,0.963155,
111,500,0.000000,0.000000,1.000000,1.625000,0.875000,47.681166,773.000000,0.000000,0.999866,0.745878,
112,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.515546,1024.000000,0.000000,0.000000,0.800147,
113,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.550923,726.250000,0.000000,0.000000,0.640241,
114,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.764052,391.875000,0.000000,0.000000,0.443046,
115,500,0.000000,0.000000,1.000000,1.000000,0.625000,46.741180,922.250000,0.000000,0.999892,0.715941,
116,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.884775,482.125000,0.000000,0.000000,0.406827,
117,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.561917,1024.000000,0.000000,0.000000,1.044623,
118,500,0.000000,0.000000,1.000000,1.125000,1.000000,47.977913,515.375000,0.000000,0.999717,0.586935,
119,500,0.000000,0.000000,1.000000,0.000000,0.000000,43.176495,1024.000000,0.000000,0.000000,1.182911,
120,500,0.000000,0.000000,1.000000,1.750000,0.875000,47.335394,716.375000,0.000000,0.999859,0.735363,
121,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.484053,1024.000000,0.000000,0.000000,1.053678,
122,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.157836,1024.000000,0.000000,0.000000,1.220534,
123,500,0.000000,0.000000,1.000000,0.000000,0.000000,45.738883,1024.000000,0.000000,0.000000,1.290522,
124,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.928386,389.875000,0.000000,0.000000,0.547883,
125,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.348168,1024.000000,0.000000,0.000000,1.403789,
126,500,0.000000,0.000000,1.000000,0.500000,0.250000,46.250707,1024.000000,0.000000,0.999892,0.871868,
127,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.483258,1024.000000,0.000000,0.000000,1.284974,
128,500,0.000000,0.000000,1.000000,1.875000,1.000000,48.015137,660.375000,0.000000,0.999717,0.585549,
129,500,0.000000,0.000000,1.000000,0.500000,0.250000,46.125652,989.250000,0.000000,0.999892,0.972562,
130,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.212827,579.375000,0.000000,0.000000,0.627241,
131,500,0.000000,0.000000,1.000000,1.625000,0.875000,47.366852,649.250000,0.000000,0.999866,0.877166,
132,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.555991,402.625000,0.000000,0.000000,0.542147,
133,500,0.000000,0.000000,1.000000,1.750000,0.875000,46.676379,934.625000,0.000000,0.999859,0.640367,
