step,total_steps,loss,reward_avg,tokens_per_sec,avg_response_len,eval_acc
1,500,0.000000,0.000000,19.205315,6.375000,15.6
2,500,-0.321540,0.125000,27.736751,6.625000,
3,500,7.695891,0.250000,42.062978,25.625000,
4,500,4.107822,0.375000,47.352097,82.250000,
5,500,-4.653844,0.250000,47.596095,357.625000,
6,500,3.047596,0.750000,48.529096,543.875000,
7,500,0.000000,0.000000,46.567235,999.250000,
8,500,0.379565,0.875000,48.537046,235.625000,
9,500,0.000000,0.000000,45.118632,636.000000,
10,500,0.000000,0.000000,47.810395,569.625000,
11,500,0.000000,1.000000,48.815130,301.500000,
12,500,0.000000,0.000000,48.357429,342.000000,
13,500,0.000000,0.000000,48.368306,213.125000,
14,500,0.000000,1.000000,48.682336,295.625000,
15,500,0.000000,1.000000,48.418869,185.625000,
16,500,-4.757643,0.875000,48.295130,321.750000,
17,500,0.000000,0.000000,46.726395,826.750000,
18,500,-25.911289,0.625000,47.942014,463.125000,
19,500,-15.294436,0.875000,47.153686,579.750000,
20,500,5.469687,0.125000,47.864205,550.875000,
21,500,0.000000,1.000000,48.517652,385.500000,
22,500,-5.849160,0.625000,47.968456,499.625000,
23,500,-7.383111,0.750000,47.508806,678.375000,
24,500,-22.616667,0.250000,47.070403,762.250000,
25,500,-24.722725,0.875000,47.890604,436.875000,
26,500,0.000000,1.000000,48.731944,290.750000,
27,500,0.000000,1.000000,48.164164,542.875000,
28,500,0.000000,1.000000,48.633467,274.250000,
29,500,0.000000,0.000000,46.703774,818.750000,
30,500,0.000000,1.000000,48.546600,385.500000,
31,500,0.000000,1.000000,48.853076,275.000000,
32,500,-3.392301,0.875000,48.760460,386.125000,
33,500,0.000000,1.000000,48.575929,455.250000,
34,500,0.000000,1.000000,48.880287,298.500000,
35,500,0.000000,1.000000,48.653210,308.875000,
36,500,-7.198586,0.125000,46.677294,954.500000,
37,500,0.000000,1.000000,48.531753,371.000000,
38,500,0.000000,1.000000,48.559790,154.000000,
39,500,0.000000,0.000000,48.338161,406.000000,
40,500,0.000000,1.000000,48.155514,581.500000,
41,500,-0.418653,0.875000,48.289041,219.375000,
42,500,-4.420483,0.375000,48.569001,290.250000,
43,500,0.423309,0.875000,48.078336,496.250000,
44,500,0.000000,1.000000,48.201464,588.500000,
45,500,0.000000,1.000000,48.653521,262.625000,
46,500,0.000000,1.000000,48.795023,283.500000,
47,500,-37.679409,0.750000,47.238785,645.125000,
48,500,0.000000,1.000000,48.304160,393.375000,
49,500,-19.658546,0.625000,47.358757,751.375000,
50,500,0.000000,1.000000,48.905055,337.125000,46.2
51,500,0.000000,1.000000,48.951535,283.000000,
52,500,-14.596311,0.250000,44.593652,636.500000,
53,500,0.000000,1.000000,48.815093,258.000000,
54,500,0.000000,1.000000,48.866738,375.000000,
55,500,-0.872275,0.625000,48.864117,320.500000,
56,500,0.000000,0.000000,48.688938,183.500000,
57,500,-8.643011,0.750000,48.667326,267.125000,
58,500,0.000000,1.000000,47.856381,555.125000,
59,500,0.000000,1.000000,48.717491,445.500000,
60,500,-15.830809,0.375000,46.756174,820.125000,
61,500,0.000000,0.000000,47.672873,648.375000,
62,500,-22.218563,0.750000,47.844801,591.375000,
63,500,0.000000,1.000000,45.755987,461.625000,
64,500,0.000000,1.000000,48.837620,283.500000,
65,500,0.000000,1.000000,48.524719,284.000000,
66,500,-11.202222,0.250000,47.741822,584.750000,
67,500,0.000000,0.000000,47.313402,620.500000,
68,500,-14.098005,0.875000,47.806254,659.250000,
69,500,0.000000,1.000000,48.479375,482.875000,
70,500,0.000000,1.000000,48.743491,177.000000,
71,500,0.000000,1.000000,48.814458,363.125000,
72,500,0.000000,1.000000,48.184744,576.000000,
73,500,0.000000,1.000000,48.542776,465.250000,
74,500,0.000000,1.000000,48.808611,271.625000,
75,500,-23.679344,0.500000,42.203488,604.000000,
76,500,0.000000,1.000000,48.770245,278.875000,
77,500,-2.616224,0.125000,48.252683,546.250000,
78,500,0.000000,1.000000,48.769041,281.125000,
79,500,2.155854,0.750000,48.315703,538.625000,
80,500,6.150661,0.625000,47.275977,370.375000,
81,500,0.520635,0.750000,48.609983,409.875000,
82,500,-2.978024,0.875000,48.685843,403.875000,
83,500,0.000000,1.000000,48.912167,273.000000,
84,500,0.000000,1.000000,48.237155,588.250000,
85,500,0.000000,1.000000,48.890950,314.500000,
86,500,0.000000,1.000000,48.335355,139.750000,
87,500,0.000000,1.000000,48.568936,416.375000,
88,500,0.000000,1.000000,48.001193,577.625000,
89,500,-3.591008,0.125000,46.479960,729.125000,
90,500,-21.956341,0.375000,46.641539,859.125000,
91,500,8.166066,0.375000,47.579911,459.750000,
92,500,0.000000,1.000000,48.842945,232.625000,
93,500,3.828480,0.750000,48.134049,687.750000,
94,500,5.871224,0.250000,48.028431,497.250000,
95,500,0.000000,0.000000,48.925086,243.500000,
96,500,0.000000,1.000000,48.572169,227.500000,
97,500,0.000000,1.000000,48.414489,473.500000,
98,500,0.000000,1.000000,48.312991,512.250000,
99,500,0.000000,1.000000,48.478667,236.250000,
100,500,-3.162504,0.625000,47.828695,498.000000,43.4
101,500,0.000000,0.000000,46.719697,864.125000,
102,500,0.000000,1.000000,48.407244,565.750000,
103,500,-22.830782,0.625000,47.134737,783.000000,
104,500,0.000000,1.000000,48.746917,207.250000,
105,500,-12.417528,0.875000,48.684851,342.625000,
106,500,0.000000,1.000000,48.646933,239.000000,
107,500,0.000000,1.000000,48.914908,205.625000,
108,500,0.000000,0.000000,48.344943,204.125000,
109,500,-13.521501,0.875000,48.450818,466.000000,
110,500,0.000000,0.000000,47.061599,764.875000,
111,500,0.000000,1.000000,48.917646,299.500000,
